gene_id,gene,locus_tag,gene_title,GSM1080843,GSM1080844,GSM1080845,GSM1080849,GSM1080850,GSM1080851
1761894_s_at,1761894_s_at,,,8.208713,21.45152,27.12806,72.44869,36.00531,52.12754
1761895_s_at,yhbU,Z4519,collagenase,2.391653,2.660909,2.480735,2.645417,4.624845,7.678482
1761896_s_at,mglC,b2148,beta-methylgalactoside transporter inner membrane protein,1053.928,664.5991,406.7886,155.7637,223.6121,280.7015
1761897_s_at,c1199,Z4854,acyl carrier protein,1.578327,2.279843,1.075171,12.80754,1.565665,2.350682
1761898_s_at,holA,b0640,DNA polymerase III subunit delta,297.7626,479.8337,533.0441,61.90863,70.08353,82.15054
1761899_s_at,Z0115,b0105,hypothetical protein,3308.757,2646.804,3101.973,1142.888,1541.234,1790.996
1761900_s_at,mtlD,Z5024,mannitol-1-phosphate 5-dehydrogenase,1.703293,0.818748,0.740093,26.47768,1.143353,18.02588
1761901_s_at,yejE,Z3438,transport system permease,21.92482,4.263652,14.53374,17.42942,8.709857,1.446136
1761902_s_at,1761902_s_at,,,45.40492,60.27146,67.07311,81.57193,141.7118,123.7349
1761903_s_at,1761903_s_at,,,30.09336,75.00371,62.83032,126.3489,198.7278,171.7173
1761904_s_at,phnH,b4100,carbon-phosphorus lyase complex subunit,24.55375,28.20467,28.83927,29.49032,32.84457,59.73672
1761905_s_at,Z6021,Z6021,hypothetical protein,4.374634,1.061175,1.727226,1.401404,2.035425,14.45848
1761906_s_at,ygjJ,b3079,hypothetical protein,10.15961,12.94387,4.32863,20.67999,18.28844,13.68137
1761907_s_at,barA,b2786,hybrid sensory histidine kinase BarA,536.9927,506.5465,670.2189,117.6944,230.6363,166.6176
1761908_s_at,c0670,c0670,hypothetical protein,57.45031,26.69409,56.6679,11.90015,17.09084,38.53139
1761909_s_at,Z5162,Z5162,hypothetical protein,13.42706,3.878171,15.51819,29.15041,6.518406,7.510884
1761910_s_at,c2728,c2728,hypothetical protein,261.4121,399.97,369.127,79.35542,230.1933,266.3846
1761911_s_at,yjiG,b4329,hypothetical protein,125.1787,147.4126,235.9552,126.9636,170.6637,170.42
1761912_s_at,1761912_s_at,,,8.090807,1.837607,9.848516,17.15789,31.73496,4.416055
1761913_s_at,c0315,ECs1367,hypothetical protein,3.848903,0.5424009,0.2196169,0.8640854,0.5114942,2.16833
1761914_at,c4558,c4558,hypothetical protein,50.67384,27.01307,15.70834,9.349872,25.8493,4.542714
1761915_s_at,ymdC,b1046,hypothetical protein,366.8347,520.4602,458.5956,72.0235,88.36927,68.70863
1761916_s_at,c0485,c0485,hypothetical protein,0.9193276,10.44332,30.33295,23.19055,14.72689,59.52794
1761917_s_at,rplD,b3319,50S ribosomal protein L4,6997.851,7049.106,5479.293,22186.66,12596.63,26033.68
1761918_s_at,cynT,b0339,carbonic anhydrase,47.04655,40.31577,84.21743,118.6293,141.8052,135.8984
1761919_at,rhsB,b3482,Rhs protein with DUF4329 family putative toxin domain; putative neighboring cell growth inhibitor,81.93434,74.06239,138.684,149.9544,105.9105,192.3242
1761920_s_at,c3983,c3983,hypothetical protein,139.299,117.4285,98.83742,306.8437,437.3723,479.3089
