Gene_id	ERY_1_readcount	ERY_1_fpkm
b4436	51	61.50916388
b4437	56	71.01577052
b4438	7	13.87664481
b4439	4	7.417929947
b4440	108	61.27112532
b4441	11	10.31051948
b4442	11	24.32225108
b4443	1290	1080.01099
b4444	4	7.83940324
b4445	19	39.96183603
b4446	201	247.6131509
b4447	16	19.29699259
b4449	2	1.982377831
b4450	14	19.95484461
b4451	1	1.91629857
b4452	12	19.71049957
b4453	21	33.53522497
b4454	25	65.32836033
b4455	0	0
b4456	62	51.65674405
b4457	2176	1531.787395
b4458	1	1.567880648
b4459	8	9.855249787
b4460	174	30.40449402
b4461	585	78.3940324
b4462	2	0.153099753
b4463	14	1.65947505
b4464	45	5.673252344
b4465	7	0.944654224
b4466	207	7.823940906
b4467	680	95.81492848
b4468	515	84.34989431
b4469	1474	114.5117875
b4470	183	24.07432299
b4471	65	8.212708156
b4472	523	23.7306429
b4473	168	25.75505278
b4474	20	4.150827227
b4475	184	31.20344574
b4476	122	15.69049836
b4477	50	13.95363036
b4478	34	5.103458332
b4479	111	27.7446706
b4480	196	40.24226996
b4481	353	56.37111626
b4482	7	1.578128234
b4483	530	116.7400278
b4484	1154	397.2590208
b4485	459	52.66952356
b4486	157	9.219373098
b4487	80	41.81015061
b4488	1932	202.556836
b4490	1543	320.6221474
b4491	17	1.107226893
b4492	442	12.57304257
b4493	7681	1323.394644
b4494	7	0.635404263
b4495	1	0.152760736
b4496	114	16.48048896
b4497	0	0
b4498	1046	233.0753842
b4499	36	1.635618379
b4500	81	3.033619234
b4501	12	10.29652963
b4502	28	18.93753881
b4503	0	0
b4504	0	0
b4505	43	29.7834356
b4506	1	1.2231693
b4508	3	1.658335301
b4509	0	0
b4510	0	0
b4511	2	1.57503992
b4512	964	839.6871914
b4513	0	0
b4514	0	0
b4515	0	0
b4516	0	0
b4517	2	1.982377831
b4518	1374	1361.89357
b4519	3	3.135761296
b4520	2	1.57503992
b4521	0	0
b4522	3	3.135761296
b4523	89	91.36637823
b4524	7	1.115774583
b4525	8	9.998079494
b4526	0	0
b4527	17	18.79446674
b4528	0	0
b4529	1267	818.4102094
b4532	10	9.743891032
b4533	0	0
b4535	17	27.14756307
b4536	219	157.37602
b4537	69	47.2230719
b4538	18	16.69034238
b4539	44	29.75898955
b4541	0	0
b4542	140	223.5681665
b4543	44	38.32597139
b4544	14	7.186119636
b4545	0	0
b4546	15	11.8127994
b4547	97	83.23028116
b4548	0	0
b4550	10	7.875199601
b4551	40	34.32176543
b4552	0	0
b4553	43	24.72025155
b4554	868	712.8630679
b4555	35	20.53177039
b4556	21	4.443931652
b4557	14	9.358667433
b4558	441	372.8327952
b4559	2	1.982377831
b4561	5	3.22971669
b4565	10	6.181608289
b4566	141	94.25515058
b4567	27	19.64812458
b4568	1310	1394.639515
b4569	3	0.947620172
b4570	14	6.051469167
b4571	536	116.2795509
b4572	19	2.600690916
b4573	55	10.57489177
b4575	251	36.10440758
b4576	5	1.710980866
b4577	0	0
b4578	4	1.596915475
b4579	2	0.493467443
b4580	82	4.864906586
b4581	1876	410.5937189
b4582	45	15.39882779
b4585	18	36.9571867
b4586	0	0
b4587	54	13.61580563
b4588	0	0
b4589	0	0
b4590	0	0
b4592	1	1.854482487
b4593	0	0
b4594	0	0
b4595	107	106.0572139
b4596	75	74.33916865
b4597	6	16.16876918
b4598	125	224.5662386
b4599	41	73.65772627
b4600	19	2.395373212
b4601	141	289.4979625
b4602	35	67.07044994
b4603	0	0
b4606	405	1164.151381
b4608	0	0
b4609	0	0
b4611	11	13.36010975
b4613	351	720.6651407
b4614	0	0
b4615	1	0.392863033
b4616	5	6.159531117
b4618	666	1276.254847
b4620	15	9.272412434
b4621	0	0
b4622	0	0
b4623	14	2.319439191
b4624	111	212.7091412
b4625	7	15.67880648
b4626	5	13.68784693
b4627	0	0
b4628	0	0
b4629	5	17.59866033
b4630	0	0
b4631	5	6.684762452
b4632	3	5.56344746
b4633	0	0
b4634	0	0
b4635	4	15.33038856
b4636	0	0
b4637	46	91.18938021
b4638	21	71.01577052
b4639	1	1.982377831
b4640	26	8.413018111
b4641	28	30.3715245
b4642	2	2.673904981
b4643	0	0
b4644	1	0.63406938
b4645	31	381.8909292
b4646	11	4.815064934
b4647	0	0
b4648	9	15.21766511
b4649	0	0
b4650	1	0.684392346
b4651	0	0
b4652	0	0
b4653	0	0
b4654	0	0
b4655	3	4.106354078
b4656	470	310.5725268
b4657	2	1.402169685
b4658	282	58.17662404
b4659	179	38.30219598
b4660	10	1.073222597
b4661	92	5.996580558
b4662	0	0
b4663	4	7.929511323
b4664	0	0
b4665	0	0
b4666	1	2.874447854
b4667	8	22.99558284
b4668	8	24.20587667
b4669	0	0
b4670	6	19.1629857
b4671	0	0
b4672	8	13.14033305
b4673	0	0
b4674	0	0
b4675	2	4.599116567
b4676	0	0
b4677	8	20.90507531
b4678	1	2.737569385
b4679	75	153.9882779
b4680	124	297.0262783
b4682	0	0
b4683	0	0
b4684	0	0
b4685	4	8.516882532
b4686	831	1291.170901
b4687	47	100.0733697
b4688	10	8.413018111
b4689	0	0
b4690	44	101.1805645
b4691	43	46.06258053
b4692	1	0.737037911
b4693	7	1.064610316
b4694	18	9.157532988
b4695	0	0
b4696	370	11.98811617
b4697	0	0
b4698	0	0
b4699	7	9.895640155
b4700	0	0
b4701	0	0
b4702	45	143.7223927
b4703	32	61.32155423
b4704	318	794.8473198
b4705	131	175.1407763
b4706	0	0
b4707	0	0
b4708	2	1.982377831
b4712	31	63.64848821
b4713	2	4.106354078
b4714	1	0.963502074
