Gene_id	CHL_5_readcount	CHL_5_fpkm
b4114	36	2.526843499
b4115	43	3.70842926
b4116	11	1.665771283
b4117	223	11.34591354
b4118	499	63.34528863
b4119	1008	85.77851027
b4120	400	32.45921794
b4121	85	15.56883203
b4122	106	7.426598115
b4123	71	6.109521927
b4124	218	34.93829071
b4125	584	41.29242129
b4126	21	10.49022907
b4127	133	56.21686861
b4128	4	1.55410801
b4129	6533	496.6135255
b4130	60	4.748663365
b4131	13	0.698371861
b4132	6	0.518618066
b4133	107	8.022741791
b4134	1	1.518322629
b4135	1342	268.8485443
b4136	730	49.6092694
b4137	126	42.88925514
b4138	15594	1382.051423
b4139	62677	5033.025026
b4140	451	109.1027807
b4141	174	15.97318889
b4142	767	301.0410295
b4143	19962	1398.582562
b4144	2832	923.1401582
b4145	15	1.989526203
b4146	1200	134.5685362
b4147	3460	704.158939
b4148	970	351.9834723
b4149	905	195.5622292
b4150	146	14.85653253
b4151	844	270.5313519
b4152	466	135.7901874
b4153	1193	187.2969743
b4154	4879	311.2217269
b4155	356	42.0038211
b4156	86	6.602632535
b4157	7	2.564278217
b4158	21	7.692834651
b4159	867	30.09786842
b4160	1439	171.3620598
b4161	2466	270.2354737
b4162	645	136.3153393
b4163	488	740.9414427
b4164	0	0
b4165	3	4.554967886
b4166	990	100.2092935
b4167	2127	158.5529002
b4168	272	67.9367216
b4169	1419	122.3781656
b4170	2085	130.1912358
b4171	4625	561.1886477
b4172	3221	1202.845651
b4173	4602	414.5483029
b4174	7191	658.561595
b4175	4959	569.3845826
b4176	44	25.64278217
b4177	46139	4098.610831
b4178	411	111.3294029
b4179	7757	366.5437248
b4180	974	153.5414129
b4181	4	1.148184276
b4182	8	1.320658309
b4183	4	0.699348605
b4184	0	0
b4185	2	0.361165946
b4186	21	2.08182381
b4187	1892	134.2697709
b4188	3423	1431.118098
b4189	7394	2585.491792
b4190	278	42.77216066
b4191	370	56.47517502
b4192	46	4.984090056
b4193	30	2.47623433
b4194	8	3.016797903
b4195	16	3.970495304
b4196	60	10.63525528
b4197	34	4.588708389
b4198	49	8.230325282
b4199	28	11.70648751
b4200	5420	1579.362266
b4201	779	285.367533
b4202	382	193.3330814
b4203	5301	1359.323883
b4204	2	0.290295647
b4205	3	0.861138207
b4206	1430	258.2336514
b4207	1217	226.139608
b4208	3624	295.9536388
b4209	42	7.309933379
b4210	196	23.41297503
b4211	145	19.43311889
b4212	134	40.5842458
b4213	1515	89.92781248
b4214	1756	273.4537985
b4215	22	2.703552114
b4216	1628	338.4847247
b4217	7277	4056.576649
b4218	668	57.35282977
b4219	1264	228.2568779
b4220	663	44.12066932
b4221	1567	47.8359996
b4222	451	152.1696679
b4224	36	16.48464568
b4225	172	56.54562222
b4226	5682	1234.765155
b4227	2546	306.989922
b4230	398	44.76240046
b4231	426	49.35463195
b4232	4190	483.9786365
b4233	2776	233.1365611
b4234	1459	304.9958086
b4235	2752	234.7082146
b4236	314	98.99795412
b4237	362	89.83245625
b4238	3661	197.4997732
b4239	155	10.80062836
b4240	351	28.48296374
b4241	300	36.51662018
b4242	207	8.856600516
b4243	5150	1535.585211
b4244	58	14.48650681
b4245	77	9.492760708
b4246	24	20.51422574
b4248	122	35.55022074
b4249	69	11.15137796
b4251	306	59.4446314
b4252	328	83.55131674
b4253	41	2.606662981
b4254	9	1.033365849
b4255	3908	1081.424382
b4256	403	92.26822514
b4257	6	0.57840862
b4258	8128	328.4000002
b4259	416	108.115514
b4260	5502	419.9005581
b4261	1125	117.9078881
b4262	2197	234.0880572
b4263	1589	121.9951523
b4264	62	7.161497724
b4265	109	9.528624739
b4266	31	4.676036749
b4267	46	5.143465029
b4268	53	10.84362331
b4269	1643	185.8724608
b4270	0	0
b4271	424	38.64646792
b4272	1	0.315280109
b4273	2	0.254729624
b4277	7	2.447720116
b4278	179	15.54195714
b4279	94	8.905498242
b4280	125	12.89013849
b4281	7	3.496743023
b4282	1	0.463423774
b4284	10	1.001671179
b4286	11	3.846417326
b4287	90	13.52256091
b4288	31	3.737897715
b4289	57	6.583957585
b4290	134	17.12358544
b4291	502	24.91485803
b4292	130	15.72434756
b4293	124	27.41124991
b4294	24	10.03413215
b4295	1637	191.3855672
b4296	15	1.282139109
b4297	246	14.42406497
b4298	56	7.132429478
b4299	23	3.363787015
b4300	97	14.2951142
b4301	77	14.03668882
b4302	53	14.15695266
b4303	218	31.17170918
b4304	189	16.59755421
b4305	261	26.84264497
b4306	240	37.07390193
b4307	139	29.37648397
b4308	12	1.115801964
b4309	6	0.705764647
b4310	78	8.13063825
b4311	8	1.287503707
b4312	36	6.889105658
b4313	101	19.52201758
b4314	3131	658.0946802
b4315	300	64.10695543
b4316	94	14.94062928
b4317	161	7.045201245
b4318	11	2.390428847
b4319	20	4.579068245
b4320	97	12.39543125
b4321	134	11.50490897
b4322	536	52.19442245
b4323	551	43.51901327
b4324	1043	155.4966384
b4325	4	0.555439325
b4326	23	6.753251793
b4327	197	24.92579649
b4328	447	43.97310856
b4329	8	1.998138871
b4330	20	3.374050286
b4331	434	90.23487132
b4332	49	4.795787505
b4333	18	2.412387173
b4334	209	31.40239145
b4335	550	55.09191482
b4336	593	53.41745841
b4337	718	67.19531971
b4339	181	22.67757446
b4340	359	29.31770318
b4341	0	0
b4342	141	10.82524637
b4345	47	5.179988949
b4346	186	15.55290484
b4347	21	7.0855056
b4348	292	24.15384643
b4349	724	52.54351215
b4350	7838	257.4570367
b4351	392	49.43592104
b4352	501	60.40925016
b4353	1	0.565649607
b4354	750	40.23449086
b4355	210	14.63310939
b4356	197	16.69040117
b4357	379	47.79646447
b4358	4	0.451192648
b4359	1268	63.83844462
b4360	358	83.45560016
b4361	461	72.08123525
b4362	390	83.33904206
b4363	31	7.546768171
b4364	54	8.081966365
b4365	3	0.476828594
b4366	20	3.403909138
b4367	864	126.3613905
b4368	8	10.61080642
b4369	0	0
b4370	4	5.305403208
b4371	1007	112.5971583
b4372	264	73.5836358
b4373	159	41.0456614
b4374	861	146.5382884
b4375	1486	107.8448329
b4376	5459	1039.484761
b4377	593	63.71300207
b4378	483	71.45459878
b4379	197	26.31056296
b4380	548	40.77053568
b4381	1109	164.0644929
b4382	1580	137.8081491
b4383	8965	845.1747874
b4384	4051	649.2431911
b4385	263	22.78395848
b4386	730	82.82845569
b4387	157	28.08779163
b4388	636	75.73750524
b4389	1050	87.60820373
b4390	1375	128.6818448
b4391	4768	329.8510397
b4392	2541	151.2963843
b4393	897	316.5354441
b4394	384	86.37568731
b4395	1520	270.6738118
b4396	6800	901.9185453
b4397	182	44.30683249
b4398	126	21.07167752
b4399	193	15.62860092
b4400	72	6.140621895
b4401	7542	1213.79412
b4402	54	44.19287991
b4403	222	37.2884125
b4406	237	136.0598367
b4407	0	0
b4408	60818	19018.81373
b4409	79	72.34927827
b4410	11	10.07395014
b4411	1415	1110.751126
b4412	0	0
b4413	14	29.3726414
b4414	33	27.99965553
b4415	5	3.770997378
b4417	5	7.303324036
b4418	0	0
b4419	1	1.068449257
b4420	0	0
b4421	1	1.068449257
