Gene_id	Wu_4_readcount	Wu_4_fpkm
b0908	267	33.24693066
b0909	16	3.343981511
b0910	814	190.271448
b0911	23323	2227.584969
b0912	2302	1291.41486
b0913	294	20.75317002
b0914	1115	101.9272666
b0915	309	50.05490561
b0916	93	12.05938588
b0917	33	28.8315619
b0918	1300	278.2454495
b0919	2811	502.7228748
b0920	82	16.80833014
b0921	276	56.14251401
b0922	441	53.29470533
b0923	288	65.31436228
b0924	5002	179.2737835
b0925	2107	182.2921171
b0926	1542	449.0734187
b0927	1470	362.7000779
b0928	1886	253.1834112
b0929	2651	389.212848
b0930	4484	511.7204683
b0931	853	113.3675403
b0932	3288	201.1859829
b0933	24	4.996378625
b0934	2	0.403747768
b0935	13	1.81369416
b0936	6	0.999275725
b0937	1	0.27757659
b0938	7	2.072571874
b0939	2	0.455510302
b0940	11	0.676172732
b0941	24	3.582837333
b0942	1	0.294445886
b0943	6	1.859117628
b0944	32	7.195909581
b0945	51	8.065370836
b0946	141	41.5168699
b0947	435	62.6572887
b0948	556	42.15057776
b0949	920	77.09296998
b0950	356	45.38974904
b0951	644	62.74550317
b0952	238	67.46882909
b0953	109793	104489.0283
b0954	1542	475.0314198
b0955	1917	174.0476152
b0956	308	108.7070811
b0957	71855	11035.99727
b0958	490	153.6141507
b0959	179	45.42739169
b0960	277	20.56077072
b0961	78	27.89924172
b0962	1921	149.4585824
b0963	937	326.3865287
b0964	113	27.25023395
b0965	1359	524.8369895
b0966	2937	1476.665562
b0967	295	39.60185912
b0968	238	136.3886007
b0969	145	70.25211157
b0970	2969	719.2362733
b0971	6	10.90118973
b0972	605	86.44315476
b0973	589	52.4926111
b0974	224	50.58480506
b0975	239	64.98691109
b0976	62	24.84414835
b0977	162	30.18791001
b0978	866	89.61789285
b0979	1098	154.3999643
b0980	943	116.0667601
b0981	285	20.89269741
b0982	6	2.146095517
b0983	15	2.103738368
b0984	10	0.762442136
b0985	0	0
b0986	1	0.24788235
b0987	10	5.224971111
b0988	7	2.220612722
b0989	3	2.251888958
b0990	262	196.664969
b0991	3	2.076417091
b0992	90	13.39811028
b0993	76	4.426664049
b0994	104	16.15932756
b0995	107	24.68629208
b0996	3	0.408910783
b0997	68	4.268598307
b0998	34	9.060099906
b0999	2747	1435.299564
b1000	7869	1366.045721
b1001	2	0.254390002
b1002	7433	956.8588037
b1003	1619	1135.317473
b1004	5422	1452.079861
b1006	79	9.504021944
b1007	5	1.614991071
b1008	1	0.270531499
b1009	3	0.598816914
b1010	2	0.826274501
b1011	0	0
b1012	2	0.278301333
b1013	116	29.02434657
b1014	2948	118.9347398
b1015	557	59.01620451
b1018	105	14.88282995
b1019	80	10.05560478
b1020	519	77.91535793
b1021	6	2.317161101
b1022	2	0.241152513
b1023	8	0.633518043
b1024	25	1.648969843
b1025	18	2.11767041
b1026	1	0.184410745
b1027	0	0
b1028	0	0
b1029	6	0.971939915
b1032	2	3.633729909
b1033	373	63.51094277
b1034	487	105.5061849
b1035	254	73.17219002
b1036	209	67.91825253
b1037	85	16.29514372
b1038	8	3.06732117
b1039	7	2.869714902
b1040	123	30.20851961
b1041	1	0.350623061
b1042	24	8.414953473
b1043	0	0
b1044	5	2.562245449
b1045	477	142.8178339
b1046	587	65.99998318
b1047	33	4.556283098
b1048	2620	272.7189999
b1049	4039	253.8411732
b1050	90	63.11215105
b1051	3004	1280.778359
b1053	208	27.10341983
b1054	1269	220.2963553
b1055	170	25.81225045
b1056	132	36.64010992
b1057	8	2.255860543
b1058	1	1.133929901
b1059	254	36.29183687
b1060	2688	1685.366682
b1061	62	40.29599671
b1062	150	22.90603381
b1063	962	274.1684841
b1064	3206	791.0315986
b1065	750	99.18369478
b1066	451	123.2610877
b1067	392	96.72002079
b1068	573	99.14891609
b1069	166	17.27914274
b1070	39	14.9531907
b1071	52	28.27882324
b1072	24	5.813967854
b1073	0	0
b1074	0	0
b1075	3	0.689155672
b1076	17	2.248163748
b1077	17	3.595277741
b1078	29	5.921633926
b1079	9	2.058593768
b1080	5	0.728069745
b1081	11	1.86701197
b1082	42	4.084630701
b1083	111	18.60286884
b1084	3828	192.1018192
b1085	1	0.498081358
b1086	154	25.64807694
b1087	497	135.833172
b1088	1680	514.5695687
b1089	1215	1116.432189
b1090	1058	157.9434124
b1091	1084	181.6712597
b1092	1799	309.2812093
b1093	9296	2022.153391
b1094	11232	7577.292788
b1095	4040	520.0739361
b1096	191	37.70106933
b1097	181	28.28839198
b1098	248	61.76208842
b1099	333	52.97652799
b1100	1319	264.2696103
b1101	2565	285.9851866
b1102	45	3.285290055
b1103	533	236.7173162
b1104	267	112.9340184
b1105	772	192.2594043
b1106	181	35.07760605
b1107	640	99.73278191
b1108	1100	323.8904744
b1109	1391	170.4205405
b1110	1868	553.0806087
b1111	788	199.034255
b1112	528	327.2047025
b1113	254	42.17088833
b1114	2397	111.1813827
b1115	3	0.446603676
b1116	301	40.10426576
b1117	278	63.31593197
b1118	680	87.32626416
b1119	966	169.3509387
b1120	521	114.2656028
b1121	1	0.202641465
b1122	2	0.69213903
b1123	2117	323.2804905
b1124	116	23.32900309
b1125	84	16.22012771
b1126	224	31.49871766
b1127	1962	255.6582197
b1128	3703	527.6745825
b1129	548	59.97022284
b1130	445	105.8756423
b1131	1084	126.4145746
b1132	350	87.16423769
b1133	910	131.4313871
b1134	119	41.1822723
b1135	157	38.38196668
