Gene_id	CIP_1_readcount	CIP_1_fpkm
b2180	350	37.77860796
b2181	806	400.9507019
b2182	933	134.4450799
b2183	926	228.3372564
b2184	254	24.7542283
b2185	4309	2594.816587
b2186	816	138.9327583
b2187	245	184.4192573
b2188	1465	142.7753719
b2189	10	22.2886778
b2190	317	20.98936483
b2192	0	0
b2193	453	119.9770633
b2194	207	33.73781913
b2195	47	14.45568547
b2196	235	20.74658563
b2197	65	23.24059008
b2198	0	0
b2199	140	32.55717434
b2200	71	18.37891426
b2201	158	43.4557779
b2202	110	31.30764526
b2203	78	29.7479553
b2204	198	39.33022936
b2205	233	57.45419086
b2206	2255	155.6129702
b2207	24	15.60207446
b2208	662	229.5238509
b2209	1246	437.30477
b2210	627	65.33546299
b2211	652	68.06452434
b2212	60	15.81777134
b2213	376	60.59171827
b2214	282	45.83109372
b2215	39830	6191.790654
b2216	2163	138.8777245
b2217	1810	477.1694354
b2218	1716	103.3350026
b2219	214	20.10250863
b2220	177	21.91719983
b2221	4	1.035431789
b2222	3	0.790888567
b2223	24	3.113339121
b2224	28	4.055222728
b2225	27	5.963727303
b2226	46	4.784636167
b2229	8	2.200292552
b2230	140	14.22569252
b2231	6740	440.1589803
b2232	655	155.4812538
b2233	322	14.72489948
b2234	2752	206.6080481
b2235	947	143.7018653
b2236	33	22.21001188
b2237	1758	463.4607003
b2238	8	5.65013396
b2239	457	72.82416741
b2240	285	35.99154042
b2241	57	6.005218346
b2242	56	7.627680846
b2243	27	3.890693631
b2244	21	4.004532444
b2245	17	3.628840701
b2246	17	2.261696065
b2247	91	12.94998054
b2248	27	5.918028243
b2249	669	95.44111882
b2250	119	37.61163069
b2251	55	22.1578757
b2252	11	3.130764526
b2253	129	19.42047689
b2254	46	8.147213288
b2255	406	35.13810617
b2256	132	25.42560282
b2257	121	12.56283188
b2258	12	5.3216378
b2259	241	154.9104846
b2260	490	62.01709538
b2261	667	118.8706337
b2262	619	123.8164627
b2263	100	22.61170211
b2264	927	95.20906837
b2265	1035	137.0598902
b2266	4545	2549.103636
b2267	227	84.32549767
b2268	290	54.21635896
b2269	24	3.398471664
b2270	31	3.078881592
b2271	11	1.942233549
b2272	11	3.74573613
b2273	11	2.632986066
b2274	3	1.217183114
b2275	35	7.075145661
b2276	2396	282.0358535
b2277	1766	198.0953584
b2278	2901	270.2919642
b2279	48	27.18777331
b2280	488	150.9043886
b2281	658	207.9701932
b2282	1328	233.0420283
b2283	5318	334.6865243
b2284	2971	381.0847499
b2285	888	304.1937391
b2286	4444	425.8469055
b2287	2465	638.08484
b2288	2316	895.2217317
b2289	406	74.20539354
b2290	700	98.63380405
b2291	138	39.47324838
b2292	770	72.09469212
b2293	515	135.769204
b2294	280	97.07957441
b2295	714	268.7252035
b2296	2541	362.5050567
b2297	3048	243.8724254
b2298	70	7.898486083
b2299	578	182.6850634
b2300	517	159.8720675
b2301	382	101.643282
b2302	237	62.76945696
b2303	333	157.439115
b2304	1316	252.6349327
b2305	81	15.60207446
b2306	254	56.32066671
b2307	113	27.04794777
b2308	216	53.96001297
b2309	943	206.692616
b2310	1488	326.149112
b2311	196	59.01416234
b2312	868	98.13478717
b2313	734	257.609712
b2314	1026	265.5882539
b2315	594	80.33408551
b2316	3387	635.2857793
b2317	383	99.59324196
b2318	320	67.55141709
b2319	398	67.36280274
b2320	881	132.9812696
b2321	498	85.81140952
b2322	275	40.0307678
b2323	2748	386.2567623
b2324	433	37.02674671
b2325	277	170.3925479
b2326	282	88.15598355
b2327	253	53.60564595
b2328	313	65.1126574
b2329	733	115.8375012
b2330	802	147.5257244
b2331	557	173.1773736
b2332	352	73.49298334
b2333	2	0.635640071
b2334	5	1.75483455
b2335	6	2.007284433
b2336	7	1.595431253
b2339	15	4.564436677
b2340	1667	588.673332
b2341	3461	276.916819
b2342	1653	216.3939892
b2343	2586	1557.251263
b2344	9121	1167.316728
b2345	36	5.83420348
b2346	1540	349.6020388
b2347	143	26.30446208
b2348	3	6.864912762
b2349	166	24.60223485
b2350	206	97.39476783
b2351	281	52.36266249
b2352	278	35.81917695
b2353	26	15.33399758
b2354	13	5.059176071
b2355	1	0.296412468
b2356	0	0
b2357	0	0
b2358	3	0.727215335
b2359	16	7.564642161
b2360	25	5.200691486
b2361	0	0
b2362	0	0
b2363	0	0
b2364	73	13.38511302
b2365	303	38.86525723
b2366	1394	180.0167116
b2367	22	2.453347641
b2368	8	1.179538275
b2369	381	106.3224294
b2370	748	35.71893952
b2371	27	4.043469559
b2372	10	1.816114487
b2373	22	2.227552813
b2374	15	2.057827566
b2375	13	3.508013597
b2376	1	0.621821808
b2377	231	163.1476181
b2378	1227	228.6440814
b2379	361	50.0047116
b2380	411	41.54121238
b2381	193	45.06558377
b2382	152	30.40404253
b2383	94	6.463359371
b2384	27	4.464177374
b2385	18	2.844577111
b2386	18	2.475329121
b2387	6	3.149042551
b2388	1054	187.2571959
b2389	145	19.79738167
b2390	854	448.2137231
b2392	884	122.4492107
b2393	1186	169.1975589
b2394	0	0
b2395	494	38.71309251
b2396	35	79.03682456
b2397	2	4.516389975
b2398	309	153.714351
b2399	313	136.6868762
b2400	3052	369.9102004
b2401	1	2.258194987
b2402	79	178.397404
b2403	0	0
b2404	0	0
b2405	161	31.22177838
b2406	84	11.468828
b2407	7	1.440479296
b2408	57	12.7875826
b2409	60	11.10827308
b2410	370	63.56400705
b2411	1397	118.9271221
b2412	3463	602.1578747
b2413	393	88.51413108
b2414	1529	269.9704633
b2415	1850	1230.628741
b2416	7068	701.9850029
b2417	6138	2065.531104
b2418	200	40.28704672
b2419	79	36.15520721
b2420	133	31.05555773
b2421	363	68.31039837
b2422	160	25.00878966
b2423	79	15.47740035
b2424	40	8.231310266
b2425	122	20.58798812
b2426	4737	1026.486482
b2427	105	21.00279254
b2428	166	31.76074466
b2429	177	21.31736068
b2430	145	19.06920212
