Gene_id	KAN_3_readcount	KAN_3_fpkm
b0789	84	11.14472775
b0790	56	12.11001913
b0791	3213	1288.192236
b0792	119	17.71377459
b0793	310	45.04643359
b0794	1072	101.6966719
b0795	522	86.10270358
b0796	519	127.2652568
b0797	1521	183.6150758
b0798	85	28.99903649
b0799	2331	178.5721126
b0800	854	146.1313368
b0801	810	122.9042687
b0802	895	565.059657
b0803	45	27.77237533
b0804	13	3.159551451
b0805	124	8.950092981
b0806	18	11.3643283
b0807	1341	238.375061
b0808	242	17.91438814
b0809	399	90.93820381
b0810	360	89.88150562
b0811	738	162.7974258
b0812	815	266.4641858
b0813	262	48.61833693
b0814	5953	1901.069326
b0815	1582	164.5747013
b0817	666	234.4985435
b0818	1466	215.8816145
b0819	2331	417.0560415
b0820	3374	349.0125758
b0821	557	72.49920812
b0822	184	37.15689693
b0823	124	8.398299333
b0824	11	2.014011515
b0825	95	23.61140608
b0826	406	89.20240091
b0827	754	100.5228166
b0828	449	76.59157285
b0829	457	40.22741531
b0830	287	30.72946862
b0831	168	30.05809308
b0832	75	13.55121384
b0833	104	7.295618166
b0834	344	42.65257302
b0835	492	61.14111468
b0836	584	250.6071146
b0837	124	18.30919559
b0838	499	131.1428985
b0839	737	100.9516994
b0840	567	123.0985838
b0841	725	200.1130674
b0842	1930	257.9324634
b0843	275	159.0009091
b0844	402	81.1797422
b0845	1765	240.5637485
b0846	647	198.5371432
b0847	3312	323.7013654
b0848	283	123.3691036
b0849	62	39.5989579
b0850	193	110.4273359
b0851	220	50.14136551
b0852	393	71.71608505
b0853	186	64.25491282
b0854	172	25.46508066
b0855	97	14.09517438
b0856	70	12.09097822
b0857	194	37.78706324
b0858	134	45.15519403
b0859	999	145.9379233
b0860	25	5.627826513
b0861	222	54.68127472
b0862	98	22.5226088
b0863	119	26.7884542
b0864	117	26.44661585
b0865	239	76.32379789
b0866	486	247.1741404
b0867	1144	226.8489504
b0868	928	150.8071021
b0869	435	50.09119548
b0870	834	137.1545131
b0871	260	24.92351232
b0872	96	16.32522703
b0873	244	24.32365004
b0874	343	62.80054087
b0875	432	102.2789547
b0876	525	52.14644313
b0877	2786	462.3210173
b0878	581	85.78744062
b0879	1544	130.6751833
b0880	4209	3082.536169
b0881	122	62.62771575
b0882	10812	782.44673
b0883	39	73.02872331
b0884	867	652.3591469
b0885	258	60.30347824
b0886	271	25.93271082
b0887	634	59.1240917
b0888	821	140.048288
b0889	1058	352.2023442
b0890	4885	201.7453093
b0891	391	105.2778746
b0892	584	71.60203275
b0893	3369	429.3527606
b0894	406	27.36269966
b0895	84	22.39765674
b0896	354	67.51515873
b0897	69	18.13398798
b0898	1166	167.2207994
b0899	284	32.70321728
b0900	175	31.72385374
b0901	94	26.20910231
b0902	809	179.9045251
b0903	1895	136.7776306
b0904	231	44.36458931
b0905	656	61.38415148
b0906	66	15.69359622
b0907	1305	197.4669442
b0908	268	34.39390947
b0909	82	17.66298869
b0910	2281	549.5167781
b0911	43216	4254.033315
b0912	1223	707.1204065
b0913	1329	96.68710306
b0914	3745	352.836728
b0915	1461	243.918554
b0916	770	102.9056978
b0917	23	20.71040157
b0918	956	210.8866383
b0919	793	146.1663634
b0920	380	80.27878066
b0921	646	135.4321414
b0922	709	88.30761682
b0923	454	106.1154229
b0924	3442	127.1424033
b0925	1486	132.5038863
b0926	1148	344.573058
b0927	1998	508.0801776
b0928	811	112.2072364
b0929	2083	315.1905323
b0930	2812	330.7417002
b0931	1784	244.3661217
b0932	1544	97.3687646
b0933	78	16.73574909
b0934	43	8.946538753
b0935	80	11.50315953
b0936	27	4.634515133
b0937	20	5.721623621
b0938	40	12.20613039
b0939	18	4.225198982
b0940	153	9.693103547
b0941	215	33.07963909
b0942	84	25.49125574
b0943	62	19.79947895
b0944	192	44.49829814
b0945	529	86.22164213
b0946	1840	558.3798876
b0947	167	24.79164051
b0948	4285	334.80044
b0949	2130	183.9555972
b0950	1045	137.3189669
b0951	806	80.93534723
b0952	224	65.44563529
b0953	4792	4700.232067
b0954	1219	387.0331114
b0955	960	89.83046558
b0956	836	304.1024009
b0957	16890	2673.56467
b0958	3609	1166.080357
b0959	898	234.8808234
b0960	475	36.33788818
b0961	130	47.92339785
b0962	1645	131.9063945
b0963	481	172.6808447
b0964	109	27.09098171
b0965	390	155.2301365
b0966	3092	1602.227342
b0967	842	116.4962923
b0968	120	70.8743055
b0969	398	198.7379958
b0970	1766	440.9187192
b0971	38	71.15619195
b0972	54	7.951983071
b0973	50	4.592607589
b0974	38	8.844272445
b0975	72	20.17748085
b0976	23	9.498755606
b0977	75	14.40408744
b0978	220	23.46421182
b0979	168	24.34784849
b0980	246	31.20597308
b0981	747	56.43866205
b0982	18	6.635547394
b0983	107	15.46645206
b0984	219	17.20907225
b0985	178	39.26550379
b0986	67	17.1169689
b0987	339	182.5534501
b0988	33	10.7893474
b0989	35	27.07697939
b0990	1703	1317.488454
b0991	62	44.22740753
b0992	139	21.32663285
b0993	1028	61.71099366
b0994	370	59.25133266
b0995	596	141.7179295
b0996	57	8.007346408
b0997	350	22.64388147
b0998	266	73.0536904
b0999	287	154.551151
b1000	479	85.70134873
b1001	12	1.57310511
b1002	1300	172.4779295
b1003	120	86.72776858
b1004	297	81.97735311
b1006	163	20.21037617
b1007	11	3.661839118
b1008	9	2.509382136
b1009	30	6.171638962
b1010	10	4.257952462
b1011	26	6.182325783
b1012	47	6.740461039
b1013	716	184.6392118
b1014	6228	258.9621577
b1015	3604	393.5567052
b1018	1002	146.3761754
b1019	805	104.2846871
b1020	3991	617.5098557
b1021	47	18.70722158
b1022	89	11.06007969
