Gene_id	ETH_2_readcount	ETH_2_fpkm
b1767	189	24.17443248
b1768	213	43.1578709
b1769	7	0.670029647
b1770	84	14.39636822
b1771	13	1.723811529
b1772	6	0.823300443
b1773	15	2.33120914
b1774	6	0.747594655
b1775	9	0.848357413
b1776	24	2.898751421
b1777	289	137.7052924
b1778	654	205.4910179
b1779	18203	2377.382529
b1780	186	27.33915641
b1781	459	69.83321022
b1782	1043	181.6264702
b1783	16342	1098.600198
b1784	4247	430.2616847
b1785	39	3.437112013
b1786	77	6.717822396
b1787	140	36.13374167
b1788	12	14.86645372
b1789	36	10.47636
b1790	69	10.91924748
b1791	27	2.971404138
b1792	380	142.0429845
b1793	145	73.96789472
b1794	334	42.34620954
b1795	1294	676.0057117
b1796	1	0.710827705
b1797	0	0
b1798	20	4.071407513
b1799	464	65.32229664
b1800	326	39.04839708
b1801	15	1.349392843
b1802	18	2.08130352
b1803	56	7.540954784
b1804	304	35.05741745
b1805	1585	122.2889264
b1806	1707	381.5276105
b1807	304	56.8171938
b1808	521	35.46438822
b1809	484	182.4911058
b1810	871	377.669868
b1811	146	105.5105257
b1812	110	10.5058456
b1813	85	19.09658886
b1814	5437	518.1340312
b1815	232	18.87360916
b1816	918	76.69543319
b1817	1692	226.4381145
b1818	1004	163.0484343
b1819	1700	259.5522289
b1820	44	12.4696834
b1821	3	0.688261746
b1822	180	28.90699334
b1823	852	527.759107
b1824	1360	1228.547217
b1825	204	92.14104127
b1826	13	11.74346604
b1827	984	161.6163718
b1828	45	4.260310154
b1829	2173	320.4841659
b1830	3391	215.2788018
b1831	1866	347.2561131
b1832	571	149.1496373
b1833	245	24.82084124
b1834	766	37.82931133
b1835	43	3.88437723
b1836	2967	1628.488277
b1837	323	218.834973
b1838	196	38.80664859
b1839	74	28.14628299
b1840	142	21.15872708
b1841	142	49.25751665
b1842	23	12.95183468
b1843	91	18.01737256
b1844	256	50.22753594
b1845	786	49.6089449
b1846	203	40.00990669
b1847	1949	710.1646641
b1848	195	87.16799538
b1849	509	56.15900614
b1850	663	134.3364714
b1851	210	15.07566706
b1852	1765	155.5513514
b1853	478	71.47004905
b1854	2948	265.7520261
b1855	512	68.52028051
b1856	1114	109.5319407
b1857	281	39.17780608
b1858	257	44.22081719
b1859	188	31.11363405
b1860	487	62.66041138
b1861	318	67.59135207
b1862	4	0.862895324
b1863	332	82.73380852
b1864	987	173.2664115
b1865	502	144.1520926
b1866	3740	274.3963327
b1867	127	29.13641392
b1868	69	10.95924473
b1869	335	110.0436678
b1870	103	18.00859061
b1871	438	58.61695871
b1872	84	4.496643408
b1873	13	1.535930164
b1874	1350	235.086994
b1875	181	41.52512535
b1876	1318	98.87392012
b1877	2	0.532030552
b1878	3	0.992988321
b1879	76	4.755262973
b1880	9	1.018914909
b1881	35	7.05868442
b1882	15	5.003133462
b1883	6	0.743322686
b1884	7	1.057572927
b1885	6	0.487196517
b1886	6	0.469608195
b1887	33	8.517239109
b1888	20	1.323984428
b1889	8	1.122601683
b1890	2	0.292976284
b1891	54	12.13195057
b1892	39	14.45349667
b1893	0	0
b1894	0	0
b1895	233	70.65030889
b1896	2269	207.1262144
b1897	2333	378.8764913
b1900	123	10.56106984
b1901	304	39.94420898
b1902	404	104.2716545
b1904	0	0
b1905	44	11.49314193
b1906	86	46.61252676
b1907	129	13.84530498
b1908	2046	399.6196512
b1909	0	0
b1910	0	0
b1911	15	25.67397435
b1912	685	162.3056593
b1913	809	57.41184356
b1914	249	49.30028316
b1915	14	8.093958135
b1916	149	26.80793781
b1917	327	56.48956268
b1918	146	28.38848225
b1919	486	64.05227399
b1920	895	145.3469609
