Gene_id	MMC_4_readcount	MMC_4_fpkm
b2047	62	6.965214933
b2048	70	8.001614529
b2049	81	8.833753803
b2050	52	6.657926039
b2051	17	5.55040565
b2052	39	6.327097416
b2053	70	9.777373903
b2054	22	6.280111825
b2055	36	7.552642698
b2056	49	6.304720414
b2057	39	5.018042778
b2058	6	1.922912098
b2059	27	5.037342943
b2060	82	5.941202751
b2061	8	2.823735784
b2062	52	7.148510063
b2063	463	45.80816071
b2064	880	74.38579055
b2065	979	263.6190239
b2066	511	124.739188
b2067	769	36.32176955
b2068	415	76.60505823
b2069	241	27.91491351
b2070	227	18.27161544
b2071	65	22.04897584
b2072	45	9.254960787
b2073	52	12.34742647
b2074	207	25.99398121
b2075	247	12.39487095
b2076	203	10.33580871
b2077	102	11.28896064
b2078	87	9.711116974
b2079	238	51.5888326
b2080	1312	617.4568914
b2081	813	93.54713228
b2082	39	27.90856668
b2083	15	11.03643211
b2085	28	13.79901072
b2086	547	95.24931421
b2088	0	0
b2089	19	3.434405287
b2091	10606	1596.680178
b2092	35167	4058.378906
b2093	3320	1825.619493
b2094	8382	2899.789647
b2095	44756	5553.476714
b2096	52360	9597.332997
b2097	3579	532.6603471
b2098	64	7.848129502
b2099	62	9.668134161
b2100	99	16.06109344
b2101	436	91.4708949
b2102	147	28.12875261
b2103	159	31.10868467
b2104	142	28.20514792
b2105	68	39.03581995
b2106	54	10.25786199
b2107	252	116.4978427
b2108	34	5.148202342
b2109	86	5.432362312
b2110	12	2.6119556
b2111	32	9.23564411
b2112	50	27.7867617
b2113	3947	557.2642569
b2114	2951	227.3711202
b2118	135	5.823517853
b2119	51	7.339379372
b2120	96	6.598624673
