Gene_id	PME_1_readcount	PME_1_fpkm
b3463	460	106.9834975
b3464	1115	116.1206205
b3465	203	52.90622624
b3466	39	22.47428691
b3467	93	40.19439774
b3468	906	224.8255864
b3469	1106	78.2555189
b3470	164	103.727478
b3471	125	29.20255575
b3472	2583	720.2367629
b3473	201	25.67638311
b3474	700	103.727478
b3475	315	83.35243771
b3476	22	2.173337635
b3477	9	1.481821115
b3478	7	1.305921486
b3479	9	1.830484907
b3480	16	3.084832061
b3481	31	11.99832768
b3482	3	0.11019208
b3483	1	0.405185461
b3484	0	0
b3485	287	39.69304826
b3486	746	42.42362863
b3487	633	92.21838989
b3488	63	6.039585136
b3491	2993	442.2455011
b3492	313	40.48217036
b3493	1730	179.448537
b3494	3584	1659.639649
b3495	3311	1184.281654
b3496	1444	152.8392636
b3497	516	106.6202762
b3498	4351	331.364359
b3499	762	140.6411713
b3500	1726	198.4851742
b3501	64	28.12948557
b3502	55	6.633734061
b3503	43	15.70521675
b3504	3	0.381351022
b3505	0	0
b3506	4924	1351.201328
b3507	145	42.48724383
b3508	2612	627.1670663
b3509	16555	7877.102748
b3510	41344	19317.60744
b3511	6864	1863.83615
b3512	10127	2984.227756
b3513	2308	310.107538
b3514	6033	301.4392462
b3515	786	167.7567855
b3516	2689	507.1330699
b3517	137	15.21484421
b3518	52	5.787370019
b3519	2967	279.7812976
b3520	45	11.61128486
b3521	34	5.877890422
b3522	1497	229.7041932
b3523	61	7.173895874
b3524	1769	133.5472407
b3525	18	3.64666915
b3526	123	20.57819322
b3527	774	80.44595992
b3528	1214	146.7659188
b3529	931	72.82826701
b3530	1076	48.19117719
b3531	71	9.979201817
b3532	133	8.843432423
b3533	80	4.752690861
b3534	91	18.80318825
b3535	160	131.7174324
b3536	1549	153.3147552
b3537	0	0
b3538	781	72.33139317
b3539	87	10.64185211
b3540	2956	457.6394404
b3541	2468	390.2430119
b3542	1547	266.5554959
b3543	1918	292.5725042
b3544	25388	2456.560833
b3545	0	0
b3546	622	57.1972441
b3547	144	18.53195637
b3548	721	160.4882225
b3549	212	58.48464187
b3550	55	19.40480031
b3551	710	47.33066157
b3552	129	30.41101061
b3553	1073	171.2301291
b3554	3551	777.0807479
b3555	9759	5217.919888
b3556	33278	24308.75362
b3557	15	4.471011985
b3558	8	1.460950395
b3559	4498	338.0914465
b3560	1995	340.3557873
b3561	63	9.841613127
b3562	0	0
b3563	3	1.364835237
b3564	246	26.30614392
b3565	230	27.04911559
b3566	85	13.31848283
b3567	45	4.54059972
b3568	73	9.609271443
b3569	105	13.85672417
b3570	1138	214.6215818
b3571	81	6.205262719
b3572	751	93.18102393
b3573	103	33.80990582
b3574	170	31.15489623
b3575	10	1.55746964
b3576	0	0
b3577	2	0.656503026
b3578	0	0
b3579	4	0.630562177
b3580	15	1.559030231
b3581	7	1.642742865
b3582	15	2.710648381
b3583	40	8.942023969
b3584	35	7.349112817
b3585	316	50.4275124
b3586	38	5.200058266
b3587	24	11.52527534
b3588	14796	1495.85942
b3589	3	0.405185461
b3590	972	81.97000704
b3591	871	97.35628596
b3592	569	145.3717611
b3593	10	0.376369659
b3594	29	5.352485522
b3595	4	0.658587162
b3596	1	0.336777526
b3597	161	22.03182581
b3598	47	20.14541929
b3599	3521	286.2260581
b3600	1670	226.1421519
b3601	181	47.89457532
b3602	574	246.0312909
b3603	254	23.86483643
b3604	136	27.23346914
b3605	637	83.21713289
b3606	63	20.67984531
b3607	1393	263.6722206
b3608	2816	429.5537914
b3609	1365	453.8077164
b3610	757	467.3910767
b3611	1101	396.5415046
b3612	1336	134.5436026
b3613	346	42.72584215
b3614	319	51.70166484
b3615	61	9.170110378
b3616	2675	405.6593622
b3617	2507	325.870661
b3618	401	72.71803968
b3619	1133	188.9441039
b3620	556	82.62532635
b3621	238	38.5736559
b3622	132	16.30003226
b3623	242	35.05872861
b3624	133	24.28830032
b3625	156	34.72422012
b3626	201	30.7510665
b3627	277	42.25369326
b3628	265	38.17747456
b3629	123	20.44628173
b3630	134	26.12684597
b3631	369	51.0339192
b3632	583	87.64220246
b3633	811	98.73589753
b3634	337	109.2380003
b3635	151	29.00527627
b3636	46	42.60235705
b3637	4585	3010.066372
b3638	410	95.3548565
b3639	544	69.32155781
b3640	191	65.17088259
b3641	180	46.91192474
b3642	19	4.604724493
b3643	395	85.83593679
b3644	1913	344.4976831
b3645	209	39.41644166
b3646	133	33.48484121
b3647	182	16.82566934
b3648	2009	500.9339024
b3649	877	494.3967296
b3650	1727	127.4092138
b3651	163	36.75560635
b3652	394	29.44425529
b3653	670	86.43956503
b3654	395	44.15124335
b3655	429	39.03428779
b3656	119	7.984197857
b3657	12	1.350032252
b3658	3	4.913406855
b3659	5	0.656503026
b3660	268	45.1281885
b3661	149	28.30658284
b3662	175	22.86184969
b3663	148	50.83333361
b3664	48	5.594290951
b3665	58	5.107125404
b3666	71	7.936046273
b3667	40	4.714885366
b3668	64	6.625307979
b3669	142	37.38401493
b3670	54	28.87259698
b3671	682	62.82605686
b3672	73	114.7288772
b3673	1989	261.1569036
b3674	133	41.55347765
b3675	9	3.857633481
b3676	168	75.11300134
b3677	59	20.39973735
b3678	32	3.332609736
b3679	15	1.360063086
b3680	20	3.480787854
b3683	11	1.058443653
b3684	11	2.387034014
b3685	294	27.52335609
b3686	143	51.86373902
b3687	370	139.0549524
b3688	1488	695.2544474
b3689	256	31.91614709
b3690	18	2.629710711
b3691	20	2.406670024
b3693	42	7.434392624
b3696	21	4.973235249
b3697	492	94.1585225
b3698	171	66.68195017
b3699	6702	431.7897875
b3700	257	37.2317903
b3701	1126	159.1241693
b3702	2749	304.6440568
b3703	1247	1376.04431
b3704	229	98.97330196
b3705	2194	207.2660171
b3706	588	67.02390889
b3707	2038	4227.932005
b3708	83015	9121.754862
