gene_id,ceftazidime_2,ceftazidime_3,ceftazidime_4,control_2,control_3,control_4,kanamycin_2,kanamycin_3,kanamycin_4
b3205,791,1239,904,1178,1233,1231,205,259,250
b3206,39,55,41,62,66,57,7,10,8
b3207,2733,3487,4495,5414,7585,5890,3753,4515,4760
b3208,155,146,259,156,132,119,104,96,84
b3209,363,513,593,631,544,697,192,232,199
b3210,1410,1756,2344,2614,2111,2237,893,978,1048
b3211,51,69,72,90,66,72,73,115,113
b3212,905,992,723,981,985,1033,850,1199,1008
b3213,415,432,276,533,560,520,246,312,299
b3214,6,6,11,4,9,4,48,53,47
b3215,1,0,0,0,1,0,6,5,13
b3216,38,33,46,19,19,13,123,154,132
b3218,0,0,0,0,0,0,10,9,9
b3219,25,27,46,17,20,14,192,210,142
b3220,41,59,98,13,35,23,231,302,272
b3221,86,134,59,141,185,129,46,39,49
b3222,107,157,105,234,290,211,121,129,116
b3223,91,112,106,239,224,186,104,136,127
b3224,207,286,202,472,469,469,337,332,348
b3225,169,185,203,292,267,255,526,532,477
b3226,629,801,857,890,820,938,219,322,279
b3227,11,13,22,13,15,12,140,215,177
b3228,1177,1235,1740,799,830,666,887,917,1149
b3229,2776,3212,4603,2119,1955,1958,1615,1885,2084
b3230,6106,7238,7224,4999,4053,4509,8062,8401,9913
b3231,8206,9111,9233,5429,4505,4838,2656,2886,3590
b3232,592,669,594,343,378,244,299,361,404
b3233,2182,2632,3454,2921,3133,2894,1068,1286,1177
b3234,528,729,756,659,682,670,571,637,626
b3235,444,581,591,303,379,274,415,452,508
b3236,24320,24042,10506,11284,13376,12285,3856,4515,4066
b3237,393,491,689,863,641,993,382,430,417
b3238,338,339,288,44,130,67,1148,1284,1348
b3239,67,106,51,125,291,174,15,23,14
b3240,68,72,111,56,82,54,447,530,457
b3241,41,37,57,22,38,14,102,123,107
b3242,3,8,10,2,11,1,18,14,21
b3243,392,584,915,353,357,364,616,779,897
b3244,1488,2089,2623,2148,2627,2182,850,1092,1105
b3247,529,624,501,635,839,644,744,942,924
b3248,159,201,148,172,218,155,128,196,196
b3249,121,139,71,95,118,82,144,186,164
b3250,1154,1258,908,612,669,441,1772,2069,2128
b3251,3791,4684,4307,1842,1951,1479,4589,5233,5605
b3252,568,768,949,458,459,344,3402,4236,4431
b3253,432,582,438,784,858,773,151,175,170
b3255,1431,1670,1720,1185,1226,1045,174,232,244
b3256,2820,3163,2708,2445,2496,1944,1079,1091,1260
b3257,19,9,40,8,16,9,21,29,27
b3258,134,180,156,168,152,103,217,277,306
b3259,283,412,379,354,334,311,209,288,307
b3260,3938,4919,5059,1353,1159,857,2162,2499,2918
b3261,746,908,1012,298,321,218,244,280,277
b3262,33,27,36,8,1,14,25,44,60
b3263,93,107,107,9,6,10,6,10,13
b3264,1,3,4,1,0,0,10,17,21
b3265,2,3,2,1,0,0,42,41,75
b3266,102,129,157,112,130,118,463,585,577
b3267,258,356,365,304,827,512,22,11,11
b3268,75,131,44,119,112,82,52,43,55
b3269,9,18,11,11,12,3,41,67,75
b3270,14,12,11,20,26,12,55,55,55
b3271,19,28,17,18,15,15,50,51,35
b3272,0,0,0,0,0,0,0,0,0
b3273,0,0,0,0,0,0,0,0,0
b3274,0,0,0,0,0,0,0,0,0
b3275,1,0,0,0,0,0,0,0,0
b3276,0,0,0,0,0,0,0,0,0
b3277,0,0,0,0,0,0,0,0,0
b3278,0,1,0,0,0,0,0,1,0
b3279,297,357,361,294,343,319,209,242,251
b3280,120,141,81,152,227,134,82,108,126
b3281,284,405,294,599,619,520,271,304,296
b3282,224,265,225,439,505,455,213,265,251
b3283,391,560,519,716,845,841,278,354,357
b3284,1206,1658,1968,2034,2039,2154,747,892,782
b3287,1841,2677,2708,2744,3357,3116,1028,1133,1028
b3288,2604,3294,2952,3505,4104,3331,1326,1447,1416
b3289,1375,1826,1509,1549,1910,1408,262,299,345
b3290,608,783,642,786,1065,818,210,246,263
b3291,280,397,349,291,460,381,168,182,199
b3292,133,181,330,231,256,237,161,190,189
b3293,141,189,343,267,287,241,134,161,170
b3294,4670,6305,5086,4471,4998,4949,6704,6566,7103
b3295,13565,19961,16580,15590,16386,15990,23826,24019,28910
b3296,8125,11948,10161,9202,9211,9248,8077,8346,9087
b3297,3488,4521,4098,3478,3542,3329,2093,2158,2841
b3298,5519,7223,7292,4837,5286,5051,2468,2571,3126
b3299,1301,1949,1918,1468,1761,1644,1300,1262,1396
