test_group,comparison,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,index,log10_padj,Dbxref,Name,gbkey,gene_biotype,gene_synonym
aminoglycoside,imported_candidate_results,lldD,b3605,1465.0,2.199,4.592,0.0002296,0.003419,gene-b3605,2.466,"ASAP:ABE-0011784,ECOCYC:EG11963,GeneID:948121",lldD,Gene,protein_coding,"ECK3595,lct,lctD"
aminoglycoside,imported_candidate_results,paaD,b1391,22.29,2.198,4.587,0.000709,0.008838,gene-b1391,2.054,"ASAP:ABE-0004655,ECOCYC:G6712,GeneID:945959",paaD,Gene,protein_coding,"ECK1388,ydbQ"
aminoglycoside,imported_candidate_results,puuE,b1302,144.1,2.193,4.573,1.204e-11,2.137e-09,gene-b1302,8.67,"ASAP:ABE-0004380,ECOCYC:G6646,GeneID:945446",puuE,Gene,protein_coding,"ECK1297,goaG"
aminoglycoside,imported_candidate_results,lhgD,b2660,828.7,2.18,4.533,1.188e-07,6.508e-06,gene-b2660,5.187,"ASAP:ABE-0008756,ECOCYC:EG12387,GeneID:948069",lhgD,Gene,protein_coding,"ECK2654,lhgO,ygaF"
aminoglycoside,imported_candidate_results,fadJ,b2341,618.9,2.179,4.528,5.341e-06,0.0001472,gene-b2341,3.832,"ASAP:ABE-0007723,ECOCYC:G7212,GeneID:949097",fadJ,Gene,protein_coding,"ECK2335,yfcX"
aminoglycoside,imported_candidate_results,mglB,b2150,6061.0,2.174,4.514,1.272e-07,6.662e-06,gene-b2150,5.176,"ASAP:ABE-0007108,ECOCYC:EG10593,GeneID:949041",mglB,Gene,protein_coding,ECK2143
aminoglycoside,imported_candidate_results,putA,b1014,5791.0,2.162,4.476,3.743e-15,1.846e-12,gene-b1014,11.73,"ASAP:ABE-0003424,ECOCYC:EG10801,GeneID:945600",putA,Gene,protein_coding,"ECK1005,poaA,putC"
aminoglycoside,imported_candidate_results,alsA,b4087,70.33,2.134,4.39,0.002987,0.02761,gene-b4087,1.559,"ASAP:ABE-0013394,ECOCYC:EG11959,GeneID:948593",alsA,Gene,protein_coding,"ECK4080,yjcW"
aminoglycoside,imported_candidate_results,aldA,b1415,6318.0,2.119,4.343,1.673e-10,2.32e-08,gene-b1415,7.634,"ASAP:ABE-0004725,ECOCYC:EG10035,GeneID:945672",aldA,Gene,protein_coding,"ald,ECK1408"
aminoglycoside,imported_candidate_results,hcaR,b2537,416.9,2.115,4.332,4.173e-18,3.087e-15,gene-b2537,14.51,"ASAP:ABE-0008351,ECOCYC:G7331,GeneID:947000",hcaR,Gene,protein_coding,"ECK2534,phdR,yfhT"
aminoglycoside,imported_candidate_results,cstA,b0598,1661.0,2.114,4.329,4.197e-07,1.774e-05,gene-b0598,4.751,"ASAP:ABE-0002061,ECOCYC:EG10167,GeneID:945213",cstA,Gene,protein_coding,"ECK0591,ybdC"
aminoglycoside,imported_candidate_results,hypA,b2726,12.58,2.085,4.241,3.108e-05,0.0006356,gene-b2726,3.197,"ASAP:ABE-0008958,ECOCYC:EG10483,GeneID:947195",hypA,Gene,protein_coding,ECK2721
aminoglycoside,imported_candidate_results,yrhB,b3446,18.7,2.073,4.208,2.255e-07,1.076e-05,gene-b3446,4.968,"ASAP:ABE-0011255,ECOCYC:G7763,GeneID:947948",yrhB,Gene,protein_coding,ECK3430
aminoglycoside,imported_candidate_results,yqcE,b2775,18.81,2.067,4.189,0.0003434,0.004777,gene-b2775,2.321,"ASAP:ABE-0009095,ECOCYC:EG13174,GeneID:947248",yqcE,Gene,protein_coding,"ECK2769,yqcF"
aminoglycoside,imported_candidate_results,garP,b3127,47.25,2.055,4.155,0.004228,0.03581,gene-b3127,1.446,"ASAP:ABE-0010279,ECOCYC:EG12760,GeneID:947642",garP,Gene,protein_coding,"ECK3115,yhaU"
aminoglycoside,imported_candidate_results,fadB,b3846,1266.0,2.045,4.128,2.167e-08,1.63e-06,gene-b3846,5.788,"ASAP:ABE-0012564,ECOCYC:EG10279,GeneID:948336",fadB,Gene,protein_coding,"ECK3838,oldB"
aminoglycoside,imported_candidate_results,prpD,b0334,21.22,2.043,4.12,1.231e-06,4.668e-05,gene-b0334,4.331,"ASAP:ABE-0001152,ECOCYC:G6199,GeneID:945931",prpD,Gene,protein_coding,"acnC,ECK0331,yahT"
aminoglycoside,imported_candidate_results,yihL,b3872,264.0,2.035,4.098,6.869e-05,0.001255,gene-b3872,2.901,"ASAP:ABE-0012651,ECOCYC:EG11838,GeneID:948368",yihL,Gene,protein_coding,ECK3865
aminoglycoside,imported_candidate_results,ybdD,b4512,212.9,2.021,4.058,6.314e-06,0.0001709,gene-b4512,3.767,"ASAP:ABE-0285033,ECOCYC:G0-10438,GeneID:949021",ybdD,Gene,protein_coding,ECK0592
aminoglycoside,imported_candidate_results,prpR,b0330,84.88,2.016,4.046,1.386e-10,2.05e-08,gene-b0330,7.688,"ASAP:ABE-0001133,ECOCYC:G6195,GeneID:944987",prpR,Gene,protein_coding,"ECK0328,yahP"
aminoglycoside,imported_candidate_results,fadI,b2342,558.2,2.014,4.04,2.365e-07,1.116e-05,gene-b2342,4.952,"ASAP:ABE-0007725,ECOCYC:G7213,GeneID:948823",fadI,Gene,protein_coding,"ECK2336,yfcY"
