antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yrhB,b3446,18.7,2.073,4.208,2.255e-07,1.076e-05,10.299053161532143,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,oxc,b2373,42.22,-1.84,0.2793,3.62e-08,2.55e-06,10.291966068001523,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,yfdX,b2375,32.59,-2.454,0.1825,2.003e-06,6.946e-05,10.20438285239598,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dppF,b3540,828.5,2.642,6.24,5.016e-06,0.00014,10.181929729738094,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yhdY,b3270,42.08,2.449,5.46,2.032e-06,6.992e-05,10.176571123335076,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,cstA,b0598,1661.0,2.114,4.329,4.197e-07,1.774e-05,10.043712056842073,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,fadI,b2342,558.2,2.014,4.04,2.365e-07,1.116e-05,9.974004312072458,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,astB,b1745,809.3,2.563,5.909,4.758e-06,0.0001353,9.915483747320293,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,lacI,b0345,717.4,1.202,2.301,4.311e-11,7.359e-09,9.77608379888289,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ssnA,b2879,21.13,2.345,5.082,2.592e-06,8.521e-05,9.542999624356797,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,tnaA,b3708,2664.0,3.317,9.964,7.989e-05,0.001418,9.447889942280343,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ygfT,b2887,33.57,1.549,2.926,9.862e-09,8.582e-07,9.396871397705384,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,pspB,b1305,112.8,-2.552,0.1705,9.688e-06,0.0002402,9.236777696173304,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,sstT,b3089,2719.0,1.829,3.554,1.992e-07,9.822e-06,9.159266328403875,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,prpD,b0334,21.22,2.043,4.12,1.231e-06,4.668e-05,8.847965678816282,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ghxQ,b4464,111.1,1.614,3.062,5.061e-08,3.341e-06,8.838463368320056,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,kdpB,b0697,4262.0,-1.518,0.3492,2.033e-08,1.57e-06,8.810624327642783,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,chiP,b0681,332.0,2.648,6.266,2.255e-05,0.0004905,8.763187896976119,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,yneE,b1520,195.4,-1.993,0.2511,1.2e-06,4.593e-05,8.645441784282077,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,marR,b1530,136.7,-2.212,0.2159,4.453e-06,0.0001296,8.598917736605522,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,asnB,b0674,3371.0,1.602,3.035,9.184e-08,5.288e-06,8.453287102742912,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,kdpD,b0695,2221.0,-1.45,0.3659,2.052e-08,1.57e-06,8.41594550400661,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,paaJ,b1397,131.9,1.536,2.901,5.27e-08,3.341e-06,8.411325733419831,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,pdeH,b3525,1385.0,1.443,2.719,1.82e-08,1.524e-06,8.393952692613832,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,tsr,b4355,5673.0,1.24,2.362,1.577e-09,1.758e-07,8.376176600285186,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,fadJ,b2341,618.9,2.179,4.528,5.341e-06,0.0001472,8.350128882006775,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,astE,b1744,255.6,2.589,6.018,2.871e-05,0.0005983,8.344556701641942,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,modA,b0763,1574.0,1.099,2.142,2.106e-10,2.832e-08,8.295149519329513,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,yihN,b3874,164.3,2.789,6.911,5.805e-05,0.001092,8.260397061589645,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,ymgC,b1167,27.0,-1.993,0.2511,2.317e-06,7.811e-05,8.185835670853308,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,not_regulated,hisJ,b2309,1420.0,1.185,2.274,1.074e-09,1.254e-07,8.178517419253785,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ycfJ,b1110,85.14,-2.017,0.2472,2.959e-06,9.448e-05,8.11773945275079,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,cbl,b1987,795.9,2.44,5.427,2.252e-05,0.0004905,8.07484081141304,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,astD,b1746,792.6,2.529,5.77,3.216e-05,0.0006548,8.052061171698783,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,downregulated,ynbB,b1409,7.806,-3.441,0.09205,0.0003499,0.004822,7.972015184011422,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,dsdX,b2365,4503.0,2.424,5.367,2.457e-05,0.0005243,7.951738424901935,input
aminoglycoside,tobramycin,MG1655_tobramycin_vs_control,upregulated,ddpD,b1484,160.5,2.236,4.71,1.175e-05,0.0002864,7.922208341510312,input
