gene_id,EcMH1_S1,EcMH2_S2,EcMH3_S3,Ectob1_S7,Ectob2_S8,Ectob3_S9,NCMMH1_S73,NCMMH2_S74,NCMMH3_S75,NCMtob1_S76,NCMtob2_S77,NCMtob3_S78
gene-b0074,382.651921795711,440.839335309867,293.699630249122,486.334636086032,565.26988872562,489.849013463757,92.6892137886405,84.8439078204202,105.850492458468,198.616156109553,192.705990048636,283.924423300188
gene-b0075,13.5175950634354,14.4753214579359,4.22589396041903,7.16515117622146,10.7058691046519,14.4073239254046,6.99541236140683,12.2455124689266,8.9033124497777,15.278165854581,14.1579911056141,11.5344296965701
gene-b0076,56.1500102635011,48.6897176312391,65.5013563864949,60.0081411008548,64.2352146279113,77.6394678202359,20.9862370842205,22.7416660137209,48.4735900043453,47.8715863443537,46.4067486239573,70.0938420022339
gene-b4726,0.0,0.0,0.0,0.0,1.07058691046519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gene-b0077,474.15564222512,461.894348339592,427.871763492427,348.405475943769,402.540678334911,318.561940128391,169.638749764116,190.680122730429,212.690241855801,210.838688793218,253.270729778207,199.634360132945
gene-b0078,144.534285678271,136.857584693213,108.81676948079,92.2513213938513,144.529232912801,100.851267477832,51.5911661653754,55.979485572236,72.2157565370858,59.0755746377131,81.0151713265695,69.2065781794208
gene-b0080,1415.1882216412,1872.58022133117,1568.86313280556,696.810951887537,778.316683908192,697.154396612634,1506.636937338,2013.51212167636,1979.50313466724,716.036706384695,2054.48182043689,680.531352097638
gene-b0081,897.360349211137,906.681498592533,980.407398817215,858.02685335252,862.893049834942,906.861000415745,1319.50965667036,1213.1804138858,1060.48343846241,1216.14200202465,1187.69814274874,1086.89818294603
gene-b0082,1687.61975291967,1664.66196766263,1749.52009961348,1417.80428899482,1642.2803206536,1628.82801045546,2284.87656254451,1905.05186838016,2139.76275876324,1932.17870840934,2021.44650785712,1857.93044497061
gene-b0083,380.572291785952,338.196146789958,375.048088987189,345.718544252686,414.317134350028,395.401001063882,627.838259436263,586.909919046412,646.97403801718,570.384858571023,575.758304961639,487.995102547198
gene-b0084,970.147399552713,1011.95656374116,941.317879683339,840.113975411967,935.692959746575,908.461814185235,1376.34738210679,1319.89130825788,1241.51745827456,1231.42016787923,1247.47632741689,1128.59958261825
gene-b0085,1533.72713219748,1410.68587299158,1539.28187508263,1257.48403142687,1376.77476685823,1248.63474020173,1908.87314811889,2000.39192974537,1871.67412833105,1512.53841960352,1325.34527849776,1490.60322232599
gene-b0086,2386.37543619879,2401.58742370301,2584.13415679624,2052.81581198745,2384.19704960598,1865.7484483399,2625.90291516309,2407.99255906821,2451.37869450546,1803.84211523086,1824.80774250137,2015.86340543133
gene-b0087,1097.00483014803,950.107462966341,852.574106514539,814.140302398164,875.740092760525,781.997526395572,1146.37320072554,1197.43618356861,1078.29006336197,875.948175662643,841.613915722615,787.003010835209
gene-b0088,988.864069640546,846.148336132074,953.995561564596,729.054132180534,794.37548756517,728.370265117677,1267.91849050499,1334.760859113,1197.99015296453,901.411785420278,980.047606533064,706.262002959218
gene-b0089,1076.20853005044,877.730855676661,984.633292777634,807.87079511897,1006.35169583728,788.40078147353,1470.78544898579,1389.86566522317,1249.43151378547,997.154958108985,1027.24091021844,818.057244633667
gene-b0090,683.158458205929,667.180725379411,681.425401117568,644.863605859932,681.963861966325,568.288888168737,920.771152070174,966.520805583137,917.041182327103,695.665818578587,726.776876754856,630.844578020105
gene-b0091,1587.79751245122,1462.00746725153,1638.59038315248,1455.42133266998,1989.15047964432,1339.08071817788,2274.3834440024,2232.18198719291,2039.84780793796,1785.50831620536,1701.31859785796,1667.16872306579
gene-b0092,1019.01870478206,1015.90437868423,1014.21455050057,1005.80809636209,980.657609986113,905.260186646256,1378.09623519715,1412.60733123689,1294.93733297322,1070.49015421097,1125.56029289632,1193.3698416836
gene-b0093,855.767749015951,786.931111985972,845.178792083806,808.766439015998,895.010657148898,721.96701003972,1157.74074581283,1179.06791486522,1035.75201499081,978.821159083488,913.190426312108,863.307699597134
gene-b0094,1419.34748166072,1565.9665940858,1565.69371233525,1480.49936178676,1434.58646002335,1389.5063519168,1715.62488163502,2095.73199111058,1787.58728852759,1563.46563911879,1549.51347100332,1504.799443491
