gene_id,gene,CAZ_2,CAZ_3,CAZ_4,Wu_2,Wu_3,Wu_4
b0722,b0722,375,378,163,43,76,44
b0723,b0723,10678,11431,3566,3174,5065,3306
b0724,b0724,6790,7591,2103,2166,3229,2403
b0726,b0726,31770,36320,9656,11452,14351,11829
b0727,b0727,31861,36041,8033,11396,13351,12042
b0728,b0728,33472,38212,7346,9754,12443,10933
b0729,b0729,23551,26372,5407,7010,9214,7968
b0730,b0730,133,128,340,217,203,214
b0731,b0731,14,11,12,13,11,10
b0732,b0732,155,182,303,157,187,162
b0733,b0733,9332,12629,23737,28228,26901,27084
b0734,b0734,3979,5535,10702,12587,11603,12432
b0735,b0735,264,390,600,657,668,647
b0736,b0736,588,710,828,196,153,148
b0737,b0737,607,684,724,271,298,199
b0738,b0738,286,322,279,149,176,132
b0739,b0739,1194,1591,1535,1020,1228,933
b0740,b0740,2695,3407,2842,2738,3162,2394
b0741,b0741,3234,4367,2217,3736,4039,3706
b0742,b0742,1714,2191,1386,1972,2235,1980
b0743,b0743,255,322,370,154,167,120
b0744,b0744,26,31,29,10,30,15
b0745,b0745,8,3,7,10,6,10
b0746,b0746,32,46,27,12,21,12
b0747,b0747,5,3,5,1,1,0
b0748,b0748,119,158,169,31,23,29
b0749,b0749,6,2,3,2,1,0
b0750,b0750,265,422,545,185,185,176
b0751,b0751,357,533,373,356,470,328
b0752,b0752,156,268,217,221,348,244
b0753,b0753,1897,3229,1504,2800,4517,3649
b0754,b0754,2485,2770,2604,5720,5783,5570
b0755,b0755,3853,5005,3565,5935,7755,6737
b0756,b0756,1089,1224,1208,1394,1590,1304
b0757,b0757,720,856,1004,868,745,895
b0758,b0758,631,794,730,739,681,728
b0759,b0759,818,929,1136,995,807,1050
b0760,b0760,199,201,240,187,204,242
b0761,b0761,263,319,358,324,278,302
b0762,b0762,177,197,174,132,143,168
b0763,b0763,278,341,335,160,108,139
b0764,b0764,154,175,188,159,143,137
b0765,b0765,272,278,272,262,214,212
b0766,b0766,163,218,214,75,90,62
b0767,b0767,762,1070,665,1619,2004,1921
b0768,b0768,7,9,6,5,6,8
b0769,b0769,3,0,2,1,4,1
b0770,b0770,6,5,16,4,6,5
b0771,b0771,21,31,49,35,22,24
b0772,b0772,451,583,570,448,502,373
b0773,b0773,516,754,325,615,861,744
b0774,b0774,240,225,237,87,66,62
b0775,b0775,79,100,112,54,34,47
b0776,b0776,64,46,62,34,36,33
b0777,b0777,20,27,11,13,11,19
b0778,b0778,18,31,13,20,8,15
b0779,b0779,4009,5739,5351,3225,3788,3190
b0780,b0780,390,457,435,280,262,213
b0781,b0781,1754,2165,3147,973,564,608
b0782,b0782,524,660,390,333,247,308
b0783,b0783,235,275,197,227,164,183
b0784,b0784,7,11,11,18,13,18
b0785,b0785,247,318,159,217,188,162
b0786,b0786,971,1442,1206,1885,2603,2412
b0787,b0787,15,31,16,11,20,19
b0788,b0788,58,64,35,102,150,98
b0789,b0789,120,182,73,249,426,360
b0790,b0790,138,190,95,229,365,278
b0791,b0791,980,1102,1905,2299,2222,1959
b0792,b0792,50,142,71,117,154,133
b0793,b0793,81,104,82,133,156,138
b0794,b0794,250,403,221,410,418,384
b0795,b0795,178,249,145,157,190,195
b0796,b0796,53,119,64,57,57,44
b0797,b0797,1642,2069,1912,256,241,184
b0798,b0798,155,143,165,147,133,133
b0799,b0799,3060,3831,3804,2107,2129,2009
b0800,b0800,1351,1568,1833,1058,961,1019
b0801,b0801,780,1005,672,700,844,850
b0802,b0802,268,444,411,146,293,233
b0803,b0803,95,179,102,203,292,203
b0804,b0804,28,38,20,22,20,17
b0805,b0805,144,129,54,42,42,38
b0806,b0806,86,131,109,466,575,539
b0807,b0807,199,272,254,154,208,160
b0808,b0808,247,344,180,419,631,496
b0809,b0809,650,955,369,742,880,610
b0810,b0810,496,596,281,468,545,386
b0811,b0811,4105,4810,1971,2381,2868,2453
b0812,b0812,14408,24041,9636,38114,59123,53657
b0813,b0813,125,166,144,107,102,65
b0814,b0814,9043,12030,8722,12112,16060,13760
b0815,b0815,265,278,232,84,110,78
b0817,b0817,389,467,480,251,232,250
b0818,b0818,366,400,494,191,229,128
b0819,b0819,1624,2107,2415,1282,1196,1293
b0820,b0820,840,1065,926,888,984,639
b0821,b0821,201,369,297,143,191,128
b0822,b0822,162,235,204,78,84,47
b0823,b0823,73,94,185,111,122,122
b0824,b0824,5,12,21,11,5,4
b0825,b0825,83,110,237,133,123,129
b0826,b0826,348,467,468,525,389,405
b0827,b0827,932,1001,1112,1182,972,1010
b0828,b0828,261,337,439,1385,1101,1262
b0829,b0829,303,386,385,1568,1451,1400
b0830,b0830,298,396,383,1162,1238,1020
b0831,b0831,86,121,128,241,343,236
b0832,b0832,56,59,57,109,164,85
b0833,b0833,10,10,16,21,36,18
b0834,b0834,9,5,23,8,8,10
b0835,b0835,418,569,482,318,221,198
b0836,b0836,4972,8157,12436,8908,11683,12440
b0837,b0837,585,951,1014,489,648,488
b0838,b0838,985,1150,929,614,565,608
b0839,b0839,739,1036,823,1217,1715,1342
b0840,b0840,320,361,366,219,269,250
b0841,b0841,131,154,197,58,63,47
b0842,b0842,226,291,253,228,410,242
b0843,b0843,541,585,851,142,293,179
b0844,b0844,2699,3347,4306,877,1870,1072
b0845,b0845,3469,4618,5717,1599,3662,1837
b0846,b0846,1522,1769,2112,872,1493,922
b0847,b0847,1012,1177,1648,653,745,581
b0848,b0848,50,56,106,48,45,47
b0849,b0849,48,79,49,66,96,107
b0850,b0850,77,82,64,75,112,105
b0851,b0851,266,265,319,298,381,391
b0852,b0852,382,474,452,284,347,292
b0853,b0853,546,648,596,265,218,225
b0854,b0854,173,293,115,218,291,241
b0855,b0855,93,145,46,143,178,154
b0856,b0856,22,38,13,53,71,54
b0857,b0857,97,133,85,111,165,103
b0858,b0858,62,58,57,34,41,29
b0859,b0859,258,292,243,114,112,86
b0860,b0860,47,79,53,62,106,55
b0861,b0861,723,1115,444,1566,1960,1495
b0862,b0862,470,752,239,1175,1595,1319
b0863,b0863,1229,1764,509,2468,3009,2739
b0864,b0864,581,774,288,1037,1182,874
b0865,b0865,375,472,263,675,985,845
b0866,b0866,324,458,349,645,809,708
b0867,b0867,577,853,645,1252,1459,1280
b0868,b0868,314,422,378,261,241,215
b0869,b0869,449,524,281,565,693,520
b0870,b0870,807,1076,621,967,1300,1012
b0871,b0871,1242,2116,1222,2862,4392,3748
b0872,b0872,268,88,15027,119,55,1460
b0873,b0873,521,168,27627,357,18,6606
b0874,b0874,92,63,129,38,31,27
b0875,b0875,317,330,664,136,147,98
